"caseid","state","dem","rep","nhwhite","nhblack","BA","faminc3","obama","CC410a","birthyr"
162657444,"California",0,1,1,0,0,75,NA,NA,"1956"
162403791,"Kansas",1,0,1,0,0,15,1,"Barack Obama (Democratic)","1939"
162610014,"Idaho",0,1,1,0,0,130,0,"Mitt Romney (Republican)","1952"
161918567,"New York",0,1,1,0,0,130,0,"Mitt Romney (Republican)","1952"
161844538,"California",1,0,1,0,0,NA,1,"Barack Obama (Democratic)","1989"
164341408,"California",1,0,0,0,0,25,1,"Barack Obama (Democratic)","1989"
164872100,"Arizona",1,0,1,0,0,25,0,"Not sure","1936"
164911345,"Michigan",0,1,0,0,0,45,0,"Mitt Romney (Republican)","1960"
162486127,"Virginia",1,0,1,0,0,130,1,"Barack Obama (Democratic)","1957"
162360327,"Virginia",0,0,1,0,1,175,1,"Barack Obama (Democratic)","1973"
161813131,"Wisconsin",1,0,1,0,1,130,1,"Barack Obama (Democratic)","1961"
164451797,"Pennsylvania",0,0,1,0,0,110,NA,NA,"1949"
163741689,"New Jersey",0,0,1,0,0,90,1,"Barack Obama (Democratic)","1941"
162441977,"New York",0,0,1,0,1,65,1,"Barack Obama (Democratic)","1979"
